阿魏,a'wei
表邪被湿持于里,biao'xie'bei'shi'chi'yu'li
表虚,biao'xu
表虚汗多易感冒,biao'xu'han'duo'yi'gan'mao
表虚里实,biao'xu'li'shi
表虚自汗,biao'xu'zi'han
表虚自汗正宜用,biao'xu'zi'han'zheng'yi'yong
表证,biao'zheng
鳖甲,bie'jia
鳖甲煎丸,bie'jia'jian'wan
并病,bing'bing
病差水停腰下证,bing'cha'shui'ting'yao'xia'zheng
禀赋不足证,bing'fu'bu'zu'zheng
病后虚嬴气逆证,bing'hou'xu'ying'qi'ni'zheng
病后余热未尽劳复证,bing'hou'yu're'wei'jin'lao'fu'zheng
冰黄肤乐软膏,bing'huang'fu'le'ruan'gao
病机,bing'ji
病机十九条,bing'ji'shi'jiu'tiao
槟榔,bing'lang
冰凉花,bing'liang'hua
病脉,bing'mai
冰硼散,bing'peng'san
冰片,bing'pian
病危脉绝急煎斟,bing'wei'mai'jue'ji'jian'zhen
病邪,bing'xie
并月,bing'yue
驳骨丹,bo'gu'dan
薄荷,bo'he
薄荷脑,bo'he'nao
薄荷油,bo'he'you
薄厥病,bo'jue'bing
薄苔,bo'tai
布袋丸,bu'dai'wan
不得道听途说,bu'de'dao'ting'tu'shuo
不得多语调笑,bu'de'duo'yu'diao'xiao
不得平卧,bu'de'ping'wo
不得起一念蒂芥之心,bu'de'qi'yi'nian'di'jie'zhi'xin
不得问其贵贱贫富,bu'de'wen'qi'gui'jian'pin'fu
不得已隐忍而用之,bu'de'yi'yin'ren'er'yong'zhi
不得于性命之上,bu'de'yu'xing'ming'zhi'shang
补法,bu'fa
补肺,bu'fei
补肺阿胶汤,bu'fei'e'jiao'tang
补骨脂,bu'gu'zhi
不皎不昧,bu'jiao'bu'mei
卜芥,bu'jie
不老草,bu'lao'cao
不离斯须,bu'li'si'xu
不寐,bu'mei
不寐病,bu'mei'bing
补脾益肠丸,bu'pi'yi'chang'wan
补脾益肺,bu'pi'yi'fei
补气,bu'qi
补肾,bu'shen
不思饮食,bu'si'yin'shi
补泻兼施,bu'xie'jian'shi
补心,bu'xin
补心丹用柏枣仁,bu'xin'dan'yong'bai'zao'ren
补血,bu'xue
补血调血,bu'xue'tiao'xue
补阳,bu'yang
补阳还五赤芍芎,bu'yang'hai'wu'chi'shao'xiong
补阳还五汤,bu'yang'huan'wu'tang
补药之体作泻剂,bu'yao'zhi'ti'zuo'xie'ji
补益肝肾,bu'yi'gan'shen
补阴,bu'yin
不育,bu'yu
不月,bu'yue
不孕病,bu'yun'bing
不在此例,bu'zai'ci'li
不在发表在宣肺,bu'zai'fa'biao'zai'xuan'fei
布渣叶,bu'zha'ye
补中益气芪术陈,bu'zhong'yi'qi'qi'zhu'chen
补中益气汤,bu'zhong'yi'qi'tang
补中益气丸,bu'zhong'yi'qi'wan
参柴颗粒,can'chai'ke'li
蚕豆黄,can'dou'huang
参茯知芩皆可入,can'fu'zhi'qin'jie'ke'ru
蚕砂,can'sha
参芍胶囊,can'shao'jiao'nang
蚕矢汤,can'shi'tang
参叶,can'ye
参术茯苓甘草比,can'zhu'fu'ling'gan'cao'bi
苍耳草,cang'er'cao
苍耳子,cang'er'zi
苍附导痰丸,cang'fu'dao'tan'wan
藏统失司,cang'tong'shi'si
苍术,cang'zhu
苍术甘草姜枣齐,cang'zhu'gan'cao'jiang'zao'qi
草豆蔻,cao'dou'kou
草果,cao'guo
草果附姜兼厚朴,cao'guo'fu'jiang'jian'hou'pu
草红藤,cao'hong'teng
草蒲黄,cao'pu'huang
草梢瞿麦兼栀子,cao'shao'qu'mai'jian'zhi'zi
草梢乌药智仁具,cao'shao'wu'yao'zhi'ren'ju
草梢竹叶四般攻,cao'shao'zhu'ye'si'ban'gong
糙苏,cao'su
草乌,cao'wu
草血竭,cao'xue'jie
嘈杂,cao'za
嘈杂病,cao'za'bing
侧柏,ce'bai
侧柏叶,ce'bai'ye
茶油,cha'you
柴葛解肌汤,chai'ge'jie'ji'tang
柴胡,chai'hu
柴胡芍桔牛膝等,chai'hu'shao'ju'niu'xi'deng
柴胡疏肝散,chai'hu'shu'gan'san
柴胡陷胸汤,chai'hu'xian'xiong'tang
柴苓朮草加姜薄,chai'ling'zhu'cao'jia'jiang'bo
柴平汤,chai'ping'tang
颤病,chan'bing
产复康颗粒,chan'fu'kang'ke'li
产后败血上冲证,chan'hou'bai'xue'shang'chong'zheng
产后大便难病,chan'hou'da'bian'nan'bing
产后恶露不绝病,chan'hou'e'lu'bu'jue'bing
产后恶露不下病,chan'hou'e'lu'bu'xia'bing
产后发热病,chan'hou'fa're'bing
缠喉风,chan'hou'feng
产后腹痛病,chan'hou'fu'tong'bing
产后感染发热病,chan'hou'gan'ran'fa're'bing
产后汗病,chan'hou'han'bing
产后痉病,chan'hou'jing'bing
产后尿血病,chan'hou'niao'xie'bing
产后缺乳病,chan'hou'que'ru'bing
产后乳汁自出病,chan'hou'ru'zhi'zi'chu'bing
产后身痛病,chan'hou'shen'tong'bing
产后小便不通病,chan'hou'xiao'bian'bu'tong'bing
产后小便淋沥病,chan'hou'xiao'bian'lin'li'bing
产后小便频数病,chan'hou'xiao'bian'pin'shuo'bing
产后血崩病,chan'hou'xue'beng'bing
产后血晕病,chan'hou'xue'yun'bing
产后遗粪病,chan'hou'yi'fen'bing
产后遗尿病,chan'hou'yi'niao'bing
产后自汗盗汗病,chan'hou'zi'han'dao'han'bing
燀苦杏仁,chan'ku'xing'ren
产门,chan'men
蟾酥,chan'su
蝉蜕,chan'tui
蝉衣,chan'yi
肠癌,chang'ai
肠痹,chang'bi
长春花,chang'chun'hua
