阿魏,a'wei
热入肺卫证,re'ru'fei'wei'zheng
热入气分证,re'ru'qi'fen'zheng
热入心包,re'ru'xin'bao
热入心包阳明腑实证,re'ru'xin'bao'yang'ming'fu'shi'zheng
热入心包证,re'ru'xin'bao'zheng
热入血分证,re'ru'xue'fen'zheng
热入血结证,re'ru'xue'jie'zheng
热入血室,re'ru'xue'shi
热入血室病,re'ru'xue'shi'bing
热入血室证,re'ru'xue'shi'zheng
热入营分证,re'ru'ying'fen'zheng
热入营血服之安,re'ru'ying'xue'fu'zhi'an
热入营血证,re'ru'ying'xue'zheng
热伤肺津证,re'shang'fei'jin'zheng
热伤肺络证,re'shang'fei'luo'zheng
热伤气阴证,re'shang'qi'yin'zheng
热伤神明,re'shang'shen'ming
热伤肾阴证,re'shang'shen'yin'zheng
热深厥深,re'shen'jue'shen
热盛动风证,re'sheng'dong'feng'zheng
热盛动血证,re'sheng'dong'xue'zheng
热盛津枯证,re'sheng'jin'ku'zheng
热盛酿脓证,re'sheng'niang'nong'zheng
热盛迫血证,re'sheng'po'xue'zheng
热盛肉腐证,re'sheng'rou'fu'zheng
热盛伤津,re'sheng'shang'jin
热盛伤津证,re'sheng'shang'jin'zheng
热盛伤络证,re'sheng'shang'luo'zheng
热盛伤血,re'sheng'shang'xue
热盛伤阴,re'sheng'shang'yin
热盛伤阴证,re'sheng'shang'yin'zheng
热盛血瘀证,re'sheng'xue'yu'zheng
热盛阴亏切莫尝,re'sheng'yin'kui'qie'mo'chang
热盛肢厥,re'sheng'zhi'jue
热痰证,re'tan'zheng
热退阴伤证,re'tui'yin'shang'zheng
热陷厥阴证,re'xian'jue'yin'zheng
热陷心包证,re'xian'xin'bao'zheng
热陷肢厥,re'xian'zhi'jue
热邪犯肺证,re'xie'fan'fei'zheng
热邪内郁证,re'xie'nei'yu'zheng
热邪偏盛证,re'xie'pian'sheng'zheng
热邪壅肺证,re'xie'yong'fei'zheng
热壅肺窍证,re'yong'fei'qiao'zheng
热郁成痈证,re'yu'cheng'yong'zheng
热郁胆腑证,re'yu'dan'fu'zheng
热郁少阳证,re'yu'shao'yang'zheng
热郁胸膈证,re'yu'xiong'ge'zheng
热与血结证,re'yu'xue'jie'zheng
热越,re'yue
热蕴大肠证,re'yun'da'chang'zheng
热蕴络瘀证,re'yun'luo'yu'zheng
热在肺卫证,re'zai'fei'wei'zheng
热在气分证,re'zai'qi'fen'zheng
热在心营下移小肠证,re'zai'xin'ying'xia'yi'xiao'chang'zheng
热在心营证,re'zai'xin'ying'zheng
热在血分证,re'zai'xue'fen'zheng
热在营血证,re'zai'ying'xue'zheng
热证,re'zheng
热重寒轻痰挟湿,re'zhong'han'qing'tan'xie'shi
热重于风证,re'zhong'yu'feng'zheng
热重于湿,re'zhong'yu'shi
热重于湿证,re'zhong'yu'shi'zheng
热灼胸膈证,re'zhuo'xiong'ge'zheng
热灼营阴证,re'zhuo'ying'yin'zheng
热灼真阴证,re'zhuo'zhen'yin'zheng
人畜一也,ren'chu'yi'ye
忍冬藤,ren'dong'teng
人发,ren'fa
人暮潮热,ren'mu'chao're
仁杞,ren'qi
人参,ren'shen
妊娠恶阻病,ren'shen'e'zu'bing
妊娠腹痛病,ren'shen'fu'tong'bing
人参甘草朮干姜,ren'shen'gan'cao'zhu'gan'jiang
人参蛤蚧散,ren'shen'ge'jie'san
人参胡桃汤,ren'shen'hu'tao'tang
人参花,ren'shen'hua
人参芦,ren'shen'lu
人参芦头,ren'shen'lu'tou
人参乌药及摈沉,ren'shen'wu'yao'ji'bin'chen
人参养荣即十全,ren'shen'yang'rong'ji'shi'quan
人参养荣汤,ren'shen'yang'rong'tang
人参叶,ren'shen'ye
人所恶见者,ren'suo'e'jian'zhe
人行阳德,ren'xing'yang'de
人行阳恶,ren'xing'yang'e
人行阴德,ren'xing'yin'de
人行阴恶,ren'xing'yin'e
人中白,ren'zhong'bai
人自报之,ren'zi'bao'zhi
日哺发热,ri'bu'fa're
日久不愈,ri'jiu'bu'yu
日舒安洗剂,ri'shu'an'xi'ji
肉苁蓉,rou'cong'rong
肉豆蔻,rou'dou'kou
肉豆末,rou'dou'mo
柔肝,rou'gan
肉桂,rou'gui
肉果,rou'guo
肉痉,rou'jing
肉蔻五昧四般须,rou'kou'wu'mei'si'ban'xu
肉瘤病,rou'liu'bing
肉轮风热证,rou'lun'feng're'zheng
肉轮气虚证,rou'lun'qi'xu'zheng
肉轮热阻血瘀证,rou'lun're'zu'xue'yu'zheng
肉轮湿热证,rou'lun'shi're'zheng
肉瘿,rou'ying
肉瘿病,rou'ying'bing
乳癌病,ru'ai'bing
褥疮病,ru'chuang'bing
如此可做蒼生大醫,ru'ci'ke'zuo'cang'sheng'da'yi
乳娥,ru'e
乳蛾病,ru'e'bing
乳发病,ru'fa'bing
乳房部漏证,ru'fang'bu'lou'zheng
乳核病,ru'he'bing
乳疽,ru'ju
乳疽病,ru'ju'bing
乳痨病,ru'lao'bing
乳疬病,ru'li'bing
乳漏病,ru'lou'bing
乳糜尿病,ru'mi'niao'bing
乳衄病,ru'nv'bing
乳癖病,ru'pi'bing
乳癖消片,ru'pi'xiao'pian
乳泣,ru'qi
乳食积滞证,ru'shi'ji'zhi'zheng
乳食内积证,ru'shi'nei'ji'zheng
乳食伤胃证,ru'shi'shang'wei'zheng
乳食壅积证,ru'shi'yong'ji'zheng
乳头风病,ru'tou'feng'bing
乳头破碎病,ru'tou'po'sui'bing
乳香,ru'xiang
濡泻,ru'xie
乳痈,ru'yong
乳痈病,ru'yong'bing
乳晕部漏证,ru'yun'bu'lou'zheng
软坚,ruan'jian
软脚瘟,ruan'jiao'wen
软脚瘟病,ruan'jiao'wen'bing
软疖病,ruan'jie'bing
软脉灵口服液,ruan'mai'ling'kou'fu'ye
蕤仁,rui'ren
润畅通便,run'chang'tong'bian
润肺,run'fei
润下,run'xia
润养,run'yang
润燥化痰,run'zao'hua'tan
若非重用不为功,ruo'fei'zhong'yong'bu'wei'gong
若己有之,ruo'ji'you'zhi
若盈而益之,ruo'ying'er'yi'zhi
若有疾厄来求救者,ruo'you'ji'e'lai'qiu'jiu'zhe
塞而壅之,sai'er'yong'zhi
赛霉安散,sai'mei'an'san
赛胃安,sai'wei'an
三拗汤,san'ao'tang
三白草,san'bai'cao
三部九侯,san'bu'jiu'hou
三参桔梗朱砂味,san'can'jie'geng'zhu'sha'wei
三叉苦,san'cha'ku
三分三,san'fen'san
三黄片,san'huang'pian
三甲复脉汤,san'jia'fu'mai'tang
三焦,san'jiao
三焦辨证,san'jiao'bian'zheng
三焦病,san'jiao'bing
三角草,san'jiao'cao
三焦火盛是主因,san'jiao'huo'sheng'shi'zhu'yin
三焦湿热,san'jiao'shi're
三焦虚寒,san'jiao'xu'han
三焦壅塞证,san'jiao'yong'se'zheng
三焦主决渎,san'jiao'zhu'jue'du
散结,san'jie
三金片,san'jin'pian
三九胃泰胶囊,san'jiu'wei'tai'jiao'nang
三颗针,san'ke'zhen
三棱,san'leng
三妙丸,san'miao'wan
三品,san'pin
三七,san'qi
三期,san'qi
散气,san'qi
三七草,san'qi'cao
三七粉,san'qi'fen
三七花,san'qi'hua
三七伤药胶囊,san'qi'shang'yao'jiao'nang
三仁汤,san'ren'tang
三仁杏蔻薏苡仁,san'ren'xing'kou'yi'yi'ren
散收平调,san'shou'ping'diao
三物备急丸,san'wu'bei'ji'wan
三乌胶丸,san'wu'jiao'wan
三消,san'xiao
三阳,san'yang
三阳合病,san'yang'he'bing
三阳合病证,san'yang'he'bing'zheng
三叶青,san'ye'qing
三因,san'yin
三阴,san'yin
三阴三阳,san'yin'san'yang
散瘀,san'yu
三枝枪,san'zhi'qiang
三子养亲汤,san'zi'yang'qin'tang
桑白皮,sang'bai'pi
桑寄生,sang'ji'sheng
桑菊饮,sang'ju'yin
桑菊饮中桔杏翘,sang'ju'yin'zhong'ju'xing'qiao
桑皮,sang'pi
桑螵蛸,sang'piao'xiao
桑螵蛸散,sang'piao'xiao'san
桑椹,sang'shen
桑椹子,sang'shen'zi
桑杏汤,sang'xing'tang
桑叶,sang'ye
桑枝,sang'zhi
色白易咯,se'bai'yi'ge
痧毒上攻证,sha'du'shang'gong'zheng
沙棘,sha'ji
砂仁,sha'ren
沙参,sha'shen
沙参麦冬汤,sha'shen'mai'dong'tang
沙参麦冬饮豆桑,sha'shen'mai'dong'yin'dou'sang
沙参杞子麦冬襄,sha'shen'qi'zi'mai'dong'xiang
沙氏鹿茸草,sha'shi'lu'rong'cao
砂糖,sha'tang
沙菀子,sha'wan'zi
沙眼病,sha'yan'bing
沙苑子,sha'yuan'zi
沙枣,sha'zao
沙枣叶,sha'zao'ye
山崩子,shan'beng'zi
山苍子,shan'cang'zi
山茶,shan'cha
山沉香,shan'chen'xiang
山慈姑,shan'ci'gu
山慈菇,shan'ci'gu
山丹,shan'dan
山道年,shan'dao'nian
山豆根,shan'dou'gen
山梗菜,shan'geng'cai
山海螺,shan'hai'luo
山鸡椒,shan'ji'jiao
山姜,shan'jiang
山龙眼,shan'long'yan
山奈,shan'nai
山柰,shan'nai
疝气,shan'qi
疝气病,shan'qi'bing
山香,shan'xiang
山羊角,shan'yang'jiao
山药,shan'yao
山药甘莲砂薏仁,shan'yao'gan'lian'sha'yi'ren
疝痈,shan'yong
山萸肉,shan'yu'rou
山枣,shan'zao
山楂,shan'zha
山楂精降脂片,shan'zha'jing'jiang'zhi'pian
山栀,shan'zhi
山栀茶,shan'zhi'cha
山指甲,shan'zhi'jia
山芝麻,shan'zhi'ma
山栀皮,shan'zhi'pi
山枝仁,shan'zhi'ren
膻中疽病,shan'zhong'ju'bing
山茱萸,shan'zhu'yu
山茱萸萸肉,shan'zhu'yu'yu'rou
上胞下垂病,shang'bao'xia'chui'bing
上颚痈病,shang'e'yong'bing
伤风,shang'feng
伤风鼻塞病,shang'feng'bi'se'bing
伤寒论,shang'han'lun
伤寒少阳证,shang'han'shao'yang'zheng
伤寒头痛发热,shang'han'tou'tong'fa're
上寒下热,shang'han'xia're
伤寒证候,shang'han'zheng'hou
伤后发热病,shang'hou'fa're'bing
伤后癃闭病,shang'hou'long'bi'bing
上焦病,shang'jiao'bing
上焦手太阴肺经,shang'jiao'shou'tai'yin'fei'jing
上焦燥热证,shang'jiao'zao're'zheng
伤津,shang'jin
伤筋病,shang'jin'bing
商陆,shang'lu
伤络便血证,shang'luo'bian'xue'zheng
上气不足证,shang'qi'bu'zu'zheng
上气喘急,shang'qi'chuan'ji
上窍,shang'qiao
上热下寒,shang're'xia'han
上热下寒证,shang're'xia'han'zheng
伤乳证,shang'ru'zheng
上盛下虚,shang'sheng'xia'xu
上盛下虚证,shang'sheng'xia'xu'zheng
伤湿,shang'shi
伤食,shang'shi
伤食痛证,shang'shi'tong'zheng
上实下虚,shang'shi'xia'xu
上实下虚痰嗽喘,shang'shi'xia'xu'tan'sou'chuan
伤食证,shang'shi'zheng
伤暑,shang'shu
上吐下泻,shang'tu'xia'xie
伤阳,shang'yang
伤阳证,shang'yang'zheng
伤阴证,shang'yin'zheng
商枝,shang'zhi
烧存性,shao'cun'xing
少腹,shao'fu
少腹急结,shao'fu'ji'jie
少腹疽病,shao'fu'ju'bing
少腹拘急,shao'fu'ju'ji
少腹满,shao'fu'man
少腹逐瘀汤,shao'fu'zhu'yu'tang
少火壮火,shao'huo'zhuang'huo
少阳百病此为宗,shao'yang'bai'bing'ci'wei'zong
少阳半表半里证,shao'yang'ban'biao'ban'li'zheng
少阳病,shao'yang'bing
少阳兼表及里虚实错杂证,shao'yang'jian'biao'ji'li'xu'shi'cuo'za'zheng
少阳兼里实证,shao'yang'jian'li'shi'zheng
少阳兼胃热证,shao'yang'jian'wei're'zheng
少阳气机微结证,shao'yang'qi'ji'wei'jie'zheng
少阳阳明合病,shao'yang'yang'ming'he'bing
少阳证,shao'yang'zheng
芍药甘草姜枣同,shao'yao'gan'cao'jiang'zao'tong
芍药汤,shao'yao'tang
芍药汤中用大黄,shao'yao'tang'zhong'yong'da'huang
芍药枳实甘草须,shao'yao'zhi'shi'gan'cao'xu
少阴病,shao'yin'bing
少阴腹痛寒水聚,shao'yin'fu'tong'han'shui'ju
少阴寒化证,shao'yin'han'hua'zheng
少阴寒邪犯咽证,shao'yin'han'xie'fan'yan'zheng
少阴兼标证,shao'yin'jian'biao'zheng
少阴兼阳明证,shao'yin'jian'yang'ming'zheng
少阴客热犯咽证,shao'yin'ke're'fan'yan'zheng
少阴热化证,shao'yin're'hua'zheng
少阴热移膀胱证,shao'yin're'yi'pang'guang'zheng
少阴热证,shao'yin're'zheng
少阴伤津动血证,shao'yin'shang'jin'dong'xue'zheng
少阴痰火结咽证,shao'yin'tan'huo'jie'yan'zheng
少阴虚寒滑脱证,shao'yin'xu'han'hua'tuo'zheng
少阴虚火犯咽证,shao'yin'xu'huo'fan'yan'zheng
少阴咽痛证,shao'yin'yan'tong'zheng
少阴阳虚寒凝证,shao'yin'yang'xu'han'ning'zheng
少阴阳虚滑脱证,shao'yin'yang'xu'hua'tuo'zheng
少阴阳虚水泛证,shao'yin'yang'xu'shui'fan'zheng
少阴阳虚阴盛证,shao'yin'yang'xu'yin'sheng'zheng
少阴阳郁四逆证,shao'yin'yang'yu'si'ni'zheng
少阴阴盛戴阳证,shao'yin'yin'sheng'dai'yang'zheng
少阴阴盛格阳证,shao'yin'yin'sheng'ge'yang'zheng
少阴阴虚火旺证,shao'yin'yin'xu'huo'wang'zheng
少阴阴虚水热互结证,shao'yin'yin'xu'shui're'hu'jie'zheng
少阴证,shao'yin'zheng
舌本,she'ben
蛇串疮病,she'chuan'chuang'bing
蛇床子,she'chuang'zi
舌淡,she'dan
蛇胆,she'dan
蛇胆陈皮散,she'dan'chen'pi'san
蛇胆川贝枇杷膏,she'dan'chuan'bei'pi'pa'gao
舌淡苔白,she'dan'tai'bai
舌淡苔薄白,she'dan'tai'bo'bai
蛇胆汁,she'dan'zhi
蛇毒,she'du
蛇毒内攻证,she'du'nei'gong'zheng
蛇毒上攻证,she'du'shang'gong'zheng
蛇腹疔病,she'fu'ding'bing
射干,she'gan
舌干红少苔,she'gan'hong'shao'tai
射干麻黄汤,she'gan'ma'huang'tang
射干麻黄亦治水,she'gan'ma'huang'yi'zhi'shui
舌红,she'hong
舌红泛青,she'hong'fan'qing
舌红少津,she'hong'shao'jin
舌红少湿瘀互结,she'hong'shao'shi'yu'hu'jie
舌红少苔,she'hong'shao'tai
舌红苔黄,she'hong'tai'huang
舌红苔黄腻,she'hong'tai'huang'ni
舌蹇,she'jian
摄领疮病,she'ling'chuang'bing
蛇六谷,she'liu'gu
蛇莓,she'mei
蛇肉,she'rou
舌色绛,she'se'jiang
蛇伤胶囊,she'shang'jiao'nang
摄生秘剖,she'sheng'mi'pou
舌苔白,she'tai'bai
舌苔白滑,she'tai'bai'hua
舌苔白腻,she'tai'bai'ni
舌苔白润,she'tai'bai'run
舌苔薄白,she'tai'bo'bai
舌苔黄,she'tai'huang
舌苔黄滑腻,she'tai'huang'hua'ni
舌苔黄腻,she'tai'huang'ni
舌苔腻而微黄,she'tai'ni'er'wei'huang
舌苔粘腻,she'tai'zhan'ni
蛇头疔病,she'tou'ding'bing
蛇蜕,she'tui
蛇蜕青龙衣,she'tui'qing'long'yi
舌下络脉怒张,she'xia'luo'mai'nu'zhang
舌下络脉紫黑,she'xia'luo'mai'zi'hei
舌象,she'xiang
麝香,she'xiang
麝香保心丸,she'xiang'bao'xin'wan
麝香草,she'xiang'cao
麝香镇痛膏,she'xiang'zhen'tong'gao
麝香正骨酊,she'xiang'zheng'gu'ding
麝香痔疮栓,she'xiang'zhi'chuang'shuan
蛇眼疔病,she'yan'ding'bing
舌有瘀斑,she'you'yu'ban
舌质暗红,she'zhi'an'hong
麝珠明目液,she'zhu'ming'mu'ye
肾癌,shen'ai
肾癌翻花病,shen'ai'fan'hua'bing
肾不利水,shen'bu'li'shui
肾不纳气,shen'bu'na'qi
肾不纳气证,shen'bu'na'qi'zheng
肾不暖脾,shen'bu'nuan'pi
甚不仁矣,shen'bu'ren'yi
肾不养肝,shen'bu'yang'gan
肾不制水,shen'bu'zhi'shui
肾藏精,shen'cang'jing
肾垂,shen'chui
肾瘅,shen'dan
参附汤,shen'fu'tang
肾关,shen'guan
神昏,shen'hun
神昏病,shen'hun'bing
肾间动气,shen'jian'dong'qi
申姜,shen'jiang
伸筋草,shen'jin'cao
肾精不足证,shen'jing'bu'zu'zheng
肾精亏耗证,shen'jing'kui'hao'zheng
肾精亏损证,shen'jing'kui'sun'zheng
肾精亏虚证,shen'jing'kui'xu'zheng
肾厥,shen'jue
肾开窍于耳,shen'kai'qiao'yu'er
肾开窍于二阴,shen'kai'qiao'yu'er'yin
肾亏火旺,shen'kui'huo'wang
神劳,shen'lao
肾痨,shen'lao
参苓白术扁豆陈,shen'ling'bai'zhu'bian'dou'chen
参苓白术颗粒,shen'ling'bai'zhu'ke'li
参苓白术散,shen'ling'bai'zhu'san
参芦饮,shen'lu'yin
神明,shen'ming
神明失职证,shen'ming'shi'zhi'zheng
身目发黄,shen'mu'fa'huang
肾囊风病,shen'nang'feng'bing
神疲乏力,shen'pi'fa'li
神疲健忘,shen'pi'jian'wang
肾气,shen'qi
肾气不充证,shen'qi'bu'chong'zheng
肾气不固,shen'qi'bu'gu
肾气不固证,shen'qi'bu'gu'zheng
肾气不摄证,shen'qi'bu'she'zheng
肾气不足证,shen'qi'bu'zu'zheng
参芪降糖颗粒,shen'qi'jiang'tang'ke'li
参芪胶囊,shen'qi'jiao'nang
参芪颗粒,shen'qi'ke'li
肾气亏虚阳虚证,shen'qi'kui'xu'yang'xu'zheng
肾气亏虚阴虚证,shen'qi'kui'xu'yin'xu'zheng
肾气亏虚证,shen'qi'kui'xu'zheng
肾气衰微证,shen'qi'shuai'wei'zheng
肾气丸,shen'qi'wan
肾气虚证,shen'qi'xu'zheng
神曲,shen'qu
肾生髓,shen'sheng'sui
肾舒冲剂,shen'shu'chong'ji
肾衰,shen'shuai
肾衰病,shen'shuai'bing
肾衰宁片,shen'shuai'ning'pian
神衰欲寐,shen'shuai'yu'mei
肾水,shen'shui
神水将枯病,shen'shui'jiang'ku'bing
参苏饮,shen'su'yin
身体疼重,shen'ti'teng'zhong
肾通脑,shen'tong'nao
身痛逐瘀汤,shen'tong'zhu'yu'tang
肾为气之根,shen'wei'qi'zhi'gen
肾为水脏,shen'wei'shui'zang
肾系病类,shen'xi'bing'lei
神犀丹,shen'xi'dan
肾泄证,shen'xie'zheng
深心凄怆,shen'xin'qi'chuang
肾虚不固阳虚证,shen'xu'bu'gu'yang'xu'zheng
肾虚不固阴虚证,shen'xu'bu'gu'yin'xu'zheng
肾虚不固证,shen'xu'bu'gu'zheng
肾虚肝亢证,shen'xu'gan'kang'zheng
肾虚骨弱证,shen'xu'gu'ruo'zheng
肾虚寒凝证,shen'xu'han'ning'zheng
肾虚寒湿证,shen'xu'han'shi'zheng
肾虚寒痰证,shen'xu'han'tan'zheng
肾虚滑脱精关不固证,shen'xu'hua'tuo'jing'guan'bu'gu'zheng
肾虚滑脱证,shen'xu'hua'tuo'zheng
肾虚火旺证,shen'xu'huo'wang'zheng
肾虚精亏证,shen'xu'jing'kui'zheng
肾虚内热证,shen'xu'nei're'zheng
肾虚湿热证,shen'xu'shi're'zheng
肾虚失约证,shen'xu'shi'yue'zheng
肾虚水泛,shen'xu'shui'fan
肾虚水泛证,shen'xu'shui'fan'zheng
肾虚髓减证,shen'xu'sui'jian'zheng
肾虚髓亏证,shen'xu'sui'kui'zheng
肾虚髓热证,shen'xu'sui're'zheng
肾虚眩晕,shen'xu'xuan'yun
肾虚证,shen'xu'zheng
肾炎康复片,shen'yan'kang'fu'pian
肾炎舒片,shen'yan'shu'pian
肾阳不足,shen'yang'bu'zu
肾阳不足气化无权证,shen'yang'bu'zu'qi'hua'wu'quan'zheng
肾阳不足证,shen'yang'bu'zu'zheng
肾阳亏虚证,shen'yang'kui'xu'zheng
肾阳衰惫证,shen'yang'shuai'bei'zheng
肾阳衰微证,shen'yang'shuai'wei'zheng
肾阳虚,shen'yang'xu
肾阳虚衰证,shen'yang'xu'shuai'zheng
肾阳虚水泛证,shen'yang'xu'shui'fan'zheng
肾阳虚损证,shen'yang'xu'sun'zheng
肾阳虚证,shen'yang'xu'zheng
肾液,shen'ye
肾阴,shen'yin
肾阴不足,shen'yin'bu'zu
肾阴不足水液不利证,shen'yin'bu'zu'shui'ye'bu'li'zheng
肾阴不足证,shen'yin'bu'zu'zheng
肾阴耗损证,shen'yin'hao'sun'zheng
肾阴亏虚证,shen'yin'kui'xu'zheng
肾阴虚,shen'yin'xu
肾阴虚损证,shen'yin'xu'sun'zheng
肾阴虚证,shen'yin'xu'zheng
肾阴阳两虚证,shen'yin'yang'liang'xu'zheng
肾痈,shen'yong
肾与膀胱相表里,shen'yu'pang'guang'xiang'biao'li
肾元不足内风暗煽证,shen'yuan'bu'zu'nei'feng'an'shan'zheng
肾元不足证,shen'yuan'bu'zu'zheng
肾元亏虚邪毒停聚证,shen'yuan'kui'xu'xie'du'ting'ju'zheng
肾元亏虚证,shen'yuan'kui'xu'zheng
慎斋遗书医方集解,shen'zhai'yi'shu'yi'fang'ji'jie
神志不安证,shen'zhi'bu'an'zheng
神志不宁,shen'zhi'bu'ning
身重疼痛,shen'zhong'teng'tong
肾著,shen'zhu
肾主骨,shen'zhu'gu
肾主水,shen'zhu'shui
深自误哉,shen'zi'wu'zai
生白芍,sheng'bai'shao
省病诊疾,sheng'bing'zhen'ji
升柴参草当归身,sheng'chai'can'cao'dang'gui'shen
生大黄,sheng'da'huang
升登,sheng'deng
生地,sheng'di
生地车前泽泻偕,sheng'di'che'qian'ze'xie'xie
生地丹皮升麻全,sheng'di'dan'pi'sheng'ma'quan
生地黄,sheng'di'huang
生地榆,sheng'di'yu
生杜仲,sheng'du'zhong
生谷芽,sheng'gu'ya
生贯众,sheng'guan'zhong
生化汤,sheng'hua'tang
生黄芪,sheng'huang'qi
生姜,sheng'jiang
升降合剂,sheng'jiang'he'ji
生姜皮,sheng'jiang'pi
生姜泻心汤,sheng'jiang'xie'xin'tang
生津,sheng'jin
生津润燥,sheng'jin'run'zao
生卷柏,sheng'juan'bai
生军,sheng'jun
升麻,sheng'ma
升麻葛根汤,sheng'ma'ge'gen'tang
生麻黄,sheng'ma'huang
生脉麦味与人参,sheng'mai'mai'wei'yu'ren'shen
生脉散,sheng'mai'san
生脉饮,sheng'mai'yin
生脉饮口服液,sheng'mai'yin'kou'fu'ye
生内金,sheng'nei'jin
生蒲黄,sheng'pu'huang
生晒参,sheng'shai'shen
生晒野山参,sheng'shai'ye'shan'shen
生石膏,sheng'shi'gao
生首乌,sheng'shou'wu
生熟地,sheng'shu'di
盛胎,sheng'tai
生铁落饮,sheng'tie'luo'yin
升陷汤,sheng'xian'tang
生血宁片,sheng'xue'ning'pian
升血小板胶囊,sheng'xue'xiao'ban'jiao'nang
升阳补气,sheng'yang'bu'qi
升阳益胃汤,sheng'yang'yi'wei'tang
升药,sheng'yao
十八反,shi'ba'fan
湿痹,shi'bi
十补丸,shi'bu'wan
食不消化,shi'bu'xiao'hua
蓍草,shi'cao
石菖蒲,shi'chang'pu
是重加其疾,shi'chong'jia'qi'ji
湿疮病,shi'chuang'bing
十大功劳,shi'da'gong'lao
十大功劳叶,shi'da'gong'lao'ye
柿蒂,shi'di
石吊兰,shi'diao'lan
湿毒浸淫证,shi'du'jin'yin'zheng
湿毒蕴肤证,shi'du'yun'fu'zheng
湿毒蕴结证,shi'du'yun'jie'zheng
湿毒证,shi'du'zheng
湿毒中阻证,shi'du'zhong'zu'zheng
湿遏热伏证,shi'e're'fu'zheng
湿遏卫阳证,shi'e'wei'yang'zheng
石耳,shi'er
十二官,shi'er'guan
十二节,shi'er'jie
时复病,shi'fu'bing
石膏,shi'gao
石膏胶杏麦胡麻,shi'gao'jiao'xing'mai'hu'ma
食管痹,shi'guan'bi
食管瘅,shi'guan'dan
适寒温,shi'han'wen
石荷叶,shi'he'ye
石斛,shi'hu
石胡莩,shi'hu'piao
石斛夜光丸,shi'hu'ye'guang'wan
湿化,shi'hua
石花菜,shi'hua'cai
石灰,shi'hui
石灰华,shi'hui'hua
十灰散,shi'hui'san
湿火,shi'huo
湿火炽盛证,shi'huo'chi'sheng'zheng
石见穿,shi'jian'chuan
石椒草,shi'jiao'cao
湿脚气,shi'jiao'qi
石疖病,shi'jie'bing
十九畏,shi'jiu'wei
尸厥,shi'jue
食厥,shi'jue
食厥病,shi'jue'bing
石决明,shi'jue'ming
使君子,shi'jun'zi
始可与言于兹矣,shi'ke'yu'yan'yu'zi'yi
湿困脾胃证,shi'kun'pi'wei'zheng
湿困脾阳,shi'kun'pi'yang
湿困中焦证,shi'kun'zhong'jiao'zheng
石莲子,shi'lian'zi
石淋,shi'lin
石淋病,shi'lin'bing
石榴,shi'liu
石硫磺,shi'liu'huang
石榴皮,shi'liu'pi
石榴子,shi'liu'zi
石龙清血颗粒,shi'long'qing'xue'ke'li
石龙芮,shi'long'rui
石蜜,shi'mi
失眠,shi'mian
失眠多梦,shi'mian'duo'meng
石南藤,shi'nan'teng
石楠藤,shi'nan'teng
石楠叶,shi'nan'ye
室女,shi'nv
实脾附术与木瓜,shi'pi'fu'zhu'yu'mu'gua
实脾散,shi'pi'san
实脾汤,shi'pi'tang
实脾饮,shi'pi'yin
失气,shi'qi
视歧,shi'qi
湿气在表头腰重,shi'qi'zai'biao'tou'yao'zhong
十全大补汤,shi'quan'da'bu'tang
实热,shi're
湿热,shi're
湿热痹痛,shi're'bi'tong
湿热并重,shi're'bing'zhong
湿热并重证,shi're'bing'zhong'zheng
湿热冲心证,shi're'chong'xin'zheng
湿热动血证,shi're'dong'xue'zheng
湿热毒结证,shi're'du'jie'zheng
湿热毒聚证,shi're'du'ju'zheng
湿热毒盛证,shi're'du'sheng'zheng
湿热毒蕴证,shi're'du'yun'zheng
湿热化火证,shi're'hua'huo'zheng
湿热化燥证,shi're'hua'zao'zheng
湿热火毒蕴结证,shi're'huo'du'yun'jie'zheng
湿热火毒蕴盛证,shi're'huo'du'yun'sheng'zheng
湿热霍乱,shi're'huo'luan
湿热霍乱此方施,shi're'huo'luan'ci'fang'shi
湿热积滞力能攘,shi're'ji'zhi'li'neng'rang
湿热浸淫气血不运证,shi're'jin'yin'qi'xue'bu'yun'zheng
湿热聚结,shi're'ju'jie
湿热痢疾,shi're'li'ji
湿热淋证,shi're'lin'zheng
湿热蒙心证,shi're'meng'xin'zheng
湿热弥漫三焦证,shi're'mi'man'san'jiao'zheng
湿热内侵证,shi're'nei'qin'zheng
湿热内陷心包,shi're'nei'xian'xin'bao
湿热内蕴证,shi're'nei'yun'zheng
湿热酿痰证,shi're'niang'tan'zheng
湿热伤胃证,shi're'shang'wei'zheng
湿热伤阴证,shi're'shang'yin'zheng
湿热上蒸证,shi're'shang'zheng'zheng
湿热下注大肠,shi're'xia'zhu'da'chang
湿热下注肝胆湿热证,shi're'xia'zhu'gan'dan'shi're'zheng
湿热下注膀胱滞涩证,shi're'xia'zhu'pang'guang'zhi'se'zheng
湿热下注证,shi're'xia'zhu'zheng
湿热血瘀证,shi're'xue'yu'zheng
湿热薰蒸证,shi're'xun'zheng'zheng
湿热疫毒证,shi're'yi'du'zheng
湿热壅结证,shi're'yong'jie'zheng
湿热壅盛证,shi're'yong'sheng'zheng
湿热壅滞证,shi're'yong'zhi'zheng
湿热壅阻证,shi're'yong'zu'zheng
湿热郁于经络证,shi're'yu'yu'jing'luo'zheng
湿热瘀滞证,shi're'yu'zhi'zheng
湿热瘀阻证,shi're'yu'zu'zheng
湿热蕴毒证,shi're'yun'du'zheng
