白环俞,bai'huan'shu
商曲,shang'qu
商曲穴,shang'qu'xue
上脘,shang'wan
上脘穴,shang'wan'xue
上星,shang'xing
上星穴,shang'xing'xue
商阳,shang'yang
商阳穴,shang'yang'xue
少冲,shao'chong
少冲穴,shao'chong'xue
少府,shao'fu
少府穴,shao'fu'xue
少海,shao'hai
少海穴,shao'hai'xue
少商,shao'shang
少商穴,shao'shang'xue
少泽,shao'ze
少泽穴,shao'ze'xue
神道,shen'dao
神道穴,shen'dao'xue
神封,shen'feng
神封穴,shen'feng'xue
申脉,shen'mai
申脉穴,shen'mai'xue
神门,shen'men
神门穴,shen'men'xue
神阙,shen'que
神阙穴,shen'que'xue
肾俞,shen'shu
肾俞穴,shen'shu'xue
神堂,shen'tang
神堂穴,shen'tang'xue
神庭,shen'ting
神庭穴,shen'ting'xue
神藏,shen'zang
神藏穴,shen'zang'xue
身柱,shen'zhu
身柱穴,shen'zhu'xue
食窦,shi'dou
食窦穴,shi'dou'xue
石关,shi'guan
石关穴,shi'guan'xue
石门,shi'men
石门穴,shi'men'xue
手三里,shou'san'li
手三里穴,shou'san'li'xue
手五里,shou'wu'li
手五里穴,shou'wu'li'xue
俞府,shu'fu
俞府穴,shu'fu'xue
束骨,shu'gu
束骨穴,shu'gu'xue
水道,shui'dao
水道穴,shui'dao'xue
水分,shui'fen
水分穴,shui'fen'xue
水沟,shui'gou
水沟穴,shui'gou'xue
水泉,shui'quan
水泉穴,shui'quan'xue
水突,shui'tu
水突穴,shui'tu'xue
四白,si'bai
四白穴,si'bai'xue
四渎,si'du
四渎穴,si'du'xue
四满,si'man
四满穴,si'man'xue
丝竹空,si'zhu'kong
丝竹空穴,si'zhu'kong'xue
素髎,su'liao
素髎穴,su'liao'xue
太白,tai'bai
太白穴,tai'bai'xue
太冲,tai'chong
太冲穴,tai'chong'xue
太溪,tai'xi
太溪穴,tai'xi'xue
太乙,tai'yi
太乙穴,tai'yi'xue
太渊,tai'yuan
太渊穴,tai'yuan'xue
陶道,tao'dao
陶道穴,tao'dao'xue
天池,tian'chi
天池穴,tian'chi'xue
天冲,tian'chong
天冲穴,tian'chong'xue
天窗,tian'chuang
天窗穴,tian'chuang'xue
天鼎,tian'ding
天鼎穴,tian'ding'xue
天府,tian'fu
天府穴,tian'fu'xue
天井,tian'jing
天井穴,tian'jing'xue
天髎,tian'liao
天髎穴,tian'liao'xue
天泉,tian'quan
天泉穴,tian'quan'xue
天容,tian'rong
天容穴,tian'rong'xue
天枢,tian'shu
天枢穴,tian'shu'xue
天突,tian'tu
天突穴,tian'tu'xue
天溪,tian'xi
天溪穴,tian'xi'xue
天牖,tian'you
天牖穴,tian'you'xue
天柱,tian'zhu
天柱穴,tian'zhu'xue
天宗,tian'zong
天宗穴,tian'zong'xue
条口,tiao'kou
条口穴,tiao'kou'xue
听宫,ting'gong
听宫穴,ting'gong'xue
听会,ting'hui
听会穴,ting'hui'xue
通里,tong'li
通里穴,tong'li'xue
通天,tong'tian
通天穴,tong'tian'xue
瞳子髎,tong'zi'liao
瞳子髎穴,tong'zi'liao'xue
头临泣,tou'lin'qi
头临泣穴,tou'lin'qi'xue
头窍阴,tou'qiao'yin
头窍阴穴,tou'qiao'yin'xue
头维,tou'wei
头维穴,tou'wei'xue
外关,wai'guan
外关穴,wai'guan'xue
外陵,wai'ling
外陵穴,wai'ling'xue
外丘,wai'qiu
外丘穴,wai'qiu'xue
完骨,wan'gu
腕骨,wan'gu
完骨穴,wan'gu'xue
腕骨穴,wan'gu'xue
胃仓,wei'cang
胃仓穴,wei'cang'xue
维道,wei'dao
维道穴,wei'dao'xue
胃俞,wei'shu
胃俞穴,wei'shu'xue
委阳,wei'yang
委阳穴,wei'yang'xue
委中,wei'zhong
委中穴,wei'zhong'xue
温溜,wen'liu
温溜穴,wen'liu'xue
五处,wu'chu
五处穴,wu'chu'xue
五枢,wu'shu
五枢穴,wu'shu'xue
屋翳,wu'yi
屋翳穴,wu'yi'xue
膝关,xi'guan
膝关穴,xi'guan'xue
郄门,xi'men
郄门穴,xi'men'xue
膝阳关,xi'yang'guan
膝阳关穴,xi'yang'guan'xue
侠白,xia'bai
侠白穴,xia'bai'xue
下关,xia'guan
下关穴,xia'guan'xue
下巨虚,xia'ju'xu
下巨虚穴,xia'ju'xu'xue
下廉,xia'lian
下廉穴,xia'lian'xue
下髎,xia'liao
下髎穴,xia'liao'xue
下脘,xia'wan
下脘穴,xia'wan'xue
侠溪,xia'xi
侠溪穴,xia'xi'xue
陷谷,xian'gu
陷谷穴,xian'gu'xue
小肠俞,xiao'chang'shu
小肠俞穴,xiao'chang'shu'xue
小海,xiao'hai
小海穴,xiao'hai'xue
消泺,xiao'luo
消泺穴,xiao'luo'xue
囟会,xin'hui
囟会穴,xin'hui'xue
心俞,xin'shu
心俞穴,xin'shu'xue
胸乡,xiong'xiang
胸乡穴,xiong'xiang'xue
璇玑,xuan'ji
璇玑穴,xuan'ji'xue
悬厘,xuan'li
悬厘穴,xuan'li'xue
悬颅,xuan'lu
悬颅穴,xuan'lu'xue
悬枢,xuan'shu
悬枢穴,xuan'shu'xue
悬钟,xuan'zhong
悬钟穴,xuan'zhong'xue
血海,xue'hai
血海穴,xue'hai'xue
哑门,ya'men
哑门穴,ya'men'xue
阳白,yang'bai
阳白穴,yang'bai'xue
阳池,yang'chi
阳池穴,yang'chi'xue
阳辅,yang'fu
阳辅穴,yang'fu'xue
阳纲,yang'gang
阳纲穴,yang'gang'xue
阳谷,yang'gu
阳谷穴,yang'gu'xue
阳交,yang'jiao
阳交穴,yang'jiao'xue
养老,yang'lao
养老穴,yang'lao'xue
阳陵泉,yang'ling'quan
阳陵泉穴,yang'ling'quan'xue
阳溪,yang'xi
阳溪穴,yang'xi'xue
腰俞,yao'shu
腰俞穴,yao'shu'xue
腰阳关,yao'yang'guan
腰阳关穴,yao'yang'guan'xue
液门,ye'men
液门穴,ye'men'xue
翳风,yi'feng
翳风穴,yi'feng'xue
意舍,yi'she
意舍穴,yi'she'xue
譩譆,yi'xi
譩譆穴,yi'xi'xue
隐白,yin'bai
隐白穴,yin'bai'xue
阴包,yin'bao
阴包穴,yin'bao'xue
阴都,yin'du
阴都穴,yin'du'xue
阴谷,yin'gu
阴谷穴,yin'gu'xue
阴交,yin'jiao
龈交,yin'jiao
阴交穴,yin'jiao'xue
龈交穴,yin'jiao'xue
阴廉,yin'lian
阴廉穴,yin'lian'xue
阴陵泉,yin'ling'quan
阴陵泉穴,yin'ling'quan'xue
殷门,yin'men
殷门穴,yin'men'xue
阴市,yin'shi
阴市穴,yin'shi'xue
阴郄,yin'xi
阴郄穴,yin'xi'xue
膺窗,ying'chuang
膺窗穴,ying'chuang'xue
迎香,ying'xiang
迎香穴,ying'xiang'xue
涌泉,yong'quan
涌泉穴,yong'quan'xue
幽门,you'men
幽门穴,you'men'xue
鱼际,yu'ji
鱼际穴,yu'ji'xue
玉堂,yu'tang
玉堂穴,yu'tang'xue
玉枕,yu'zhen
玉枕穴,yu'zhen'xue
彧中,yu'zhong
