国家清史文献编纂委员会,guo'jia'qing'shi'wen'xian'bian'zuan'wei'yuan'hui
国家社会科学基金项目,guo'jia'she'hui'ke'xue'ji'jin'xiang'mu
国家社科基金后期资助项目,guo'jia'she'ke'ji'jin'hou'qi'zi'zhu'xiang'mu
国家图书馆出版社,guo'jia'tu'shu'guan'chu'ban'she
国外数学名著,guo'wai'shu'xue'ming'zhu
国外数学名著系列,guo'wai'shu'xue'ming'zhu'xi'lie
国学古籍,guo'xue'gu'ji
哈尔滨工业大学出版社,ha'er'bin'gong'ye'da'xue'chu'ban'she
海南出版社,hai'nan'chu'ban'she
海豚出版社,hai'tun'chu'ban'she
海洋出版社,hai'yang'chu'ban'she
海渊阁书店,hai'yuan'ge'shu'dian
韩非子,han'fei'zi
涵芬楼,han'fen'lou
涵芬楼书店,han'fen'lou'shu'dian
函匦,han'gui
汉籍,han'ji
罕及,han'ji
汉籍藏书,han'ji'cang'shu
汉简,han'jian
翰泠轩书店,han'ling'xuan'shu'dian
汉喃,han'nan
汉儒,han'ru
汉书艺文志,han'shu'yi'wen'zhi
函套,han'tao
汉魏晋,han'wei'jin
汉文化圈,han'wen'hua'quan
汉学书店,han'xue'shu'dian
汉易,han'yi
汉译世界学术名著丛书,han'yi'shi'jie'xue'shu'ming'zhu'cong'shu
汉语大词典出版社,han'yu'da'ci'dian'chu'ban'she
函装,han'zhuang
行款,hang'kuan
行线,hang'xian
杭州大学出版社,hang'zhou'da'xue'chu'ban'she
河北大学出版社,he'bei'da'xue'chu'ban'she
河北教育出版社,he'bei'jiao'yu'chu'ban'she
河北科学技术出版社,he'bei'ke'xue'ji'shu'chu'ban'she
河北人民出版社,he'bei'ren'min'chu'ban'she
合编,he'bian
合购,he'gou
合校,he'jiao
合校本,he'jiao'ben
合刊,he'kan
合勘,he'kan
河南大学出版社,he'nan'da'xue'chu'ban'she
河南人民出版社,he'nan'ren'min'chu'ban'she
河畔书店,he'pan'shu'dian
合纂,he'zuan
黑格,hei'ge
黑口,hei'kou
黑口本,hei'kou'ben
黑龙江人民出版社,hei'long'jiang'ren'min'chu'ban'she
横排,heng'pai
红格,hong'ge
红格纸,hong'ge'zhi
弘化编辑部,hong'hua'bian'ji'bu
弘化丛书,hong'hua'cong'shu
弘化社,hong'hua'she
洪武正韵,hong'wu'zheng'yun
红印格,hong'yin'ge
后录,hou'lu
湖北教育出版社,hu'bei'jiao'yu'chu'ban'she
湖北人民出版社,hu'bei'ren'min'chu'ban'she
蝴蝶装,hu'die'zhuang
护封,hu'feng
互见,hu'jian
互校,hu'jiao
湖南大学出版社,hu'nan'da'xue'chu'ban'she
湖南教育出版社,hu'nan'jiao'yu'chu'ban'she
湖南科学技术出版社,hu'nan'ke'xue'ji'shu'chu'ban'she
湖南人民出版社,hu'nan'ren'min'chu'ban'she
湖南文艺出版社,hu'nan'wen'yi'chu'ban'she
湖湘文库,hu'xiang'wen'ku
华宝斋古籍书社,hua'bao'zhai'gu'ji'shu'she
话本,hua'ben
花城出版社,hua'cheng'chu'ban'she
华东师范大学出版社,hua'dong'shi'fan'da'xue'chu'ban'she
华冈出版社,hua'gang'chu'ban'she
华龄出版社,hua'ling'chu'ban'she
花山文艺出版社,hua'shan'wen'yi'chu'ban'she
华文出版社,hua'wen'chu'ban'she
华夏出版社,hua'xia'chu'ban'she
花鱼尾,hua'yu'wei
华正书局,hua'zheng'shu'ju
华中科技大学出版社,hua'zhong'ke'ji'da'xue'chu'ban'she
华中师范大学出版社,hua'zhong'shi'fan'da'xue'chu'ban'she
淮南鸿烈,huai'nan'hong'lie
淮南子,huai'nan'zi
皇极经世,huang'ji'jing'shi
皇明,huang'ming
黄丕烈,huang'pi'lie
皇清,huang'qing
黄山书社,huang'shan'shu'she
皇宋,huang'song
黄永年,huang'yong'nian
汇编汇评,hui'bian'hui'ping
汇编汇评汇校,hui'bian'hui'ping'hui'jiao
汇钞,hui'chao
汇辑,hui'ji
汇校,hui'jiao
汇校汇考,hui'jiao'hui'kao
汇校集释,hui'jiao'ji'shi
汇校集注,hui'jiao'ji'zhu
汇校笺释集评,hui'jiao'jian'shi'ji'ping
汇校笺注,hui'jiao'jian'zhu
汇校详注,hui'jiao'xiang'zhu
会解,hui'jie
汇刊,hui'kan
汇考,hui'kao
汇评,hui'ping
汇评汇校,hui'ping'hui'jiao
毁弃,hui'qi
汇释,hui'shi
会要,hui'yao
汇要,hui'yao
荟要,hui'yao
汇证,hui'zheng
汇纂,hui'zuan
活字,huo'zi
活字版,huo'zi'ban
辑本,ji'ben
辑补,ji'bu
集部,ji'bu
集成,ji'cheng
集粹,ji'cui
辑存,ji'cun
汲古,ji'gu
集诂,ji'gu
汲古阁,ji'gu'ge
汲古书店,ji'gu'shu'dian
集笺校,ji'jian'jiao
集笺证,ji'jian'zheng
集笺注,ji'jian'zhu
辑校,ji'jiao
集校,ji'jiao
集校合编,ji'jiao'he'bian
辑校汇考,ji'jiao'hui'kao
集校集注,ji'jiao'ji'zhu
集校集注集评,ji'jiao'ji'zhu'ji'ping
集校笺,ji'jiao'jian
集校注,ji'jiao'zhu
集解,ji'jie
剞劂,ji'jue
集刊,ji'kan
辑考,ji'kao
吉林出版集团,ji'lin'chu'ban'ji'tuan
吉林大学出版社,ji'lin'da'xue'chu'ban'she
吉林人民出版社,ji'lin'ren'min'chu'ban'she
吉林文史出版社,ji'lin'wen'shi'chu'ban'she
辑录,ji'lu
集释,ji'shi
机械工业出版社,ji'xie'gong'ye'chu'ban'she
辑要,ji'yao
集要,ji'yao
辑佚,ji'yi
集英社,ji'ying'she
寄语,ji'yu
纪昀,ji'yun
集韵,ji'yun
辑注,ji'zhu
集注,ji'zhu
家藏,jia'cang
家藏本,jia'cang'ben
甲集,jia'ji
家礼,jia'li
家塾,jia'shu
家塾本,jia'shu'ben
家塾刻本,jia'shu'ke'ben
家学,jia'xue
佳者,jia'zhe
简编,jian'bian
简帛,jian'bo
简帛文献,jian'bo'wen'xian
笺订,jian'ding
简牍,jian'du
笺校,jian'jiao
笺校全译,jian'jiao'quan'yi
笺解,jian'jie
简论,jian'lun
笺释,jian'shi
见示,jian'shi
笺疏,jian'shu
简体版,jian'ti'ban
简体横排,jian'ti'heng'pai
简体竖排,jian'ti'shu'pai
建武新政,jian'wu'xin'zheng
监修,jian'xiu
笺证,jian'zheng
笺识,jian'zhi
江户时代,jiang'hu'shi'dai
讲记,jiang'ji
讲疏,jiang'shu
江苏古籍出版社,jiang'su'gu'ji'chu'ban'she
江苏广陵古籍刻印社,jiang'su'guang'ling'gu'ji'ke'yin'she
江苏教育出版社,jiang'su'jiao'yu'chu'ban'she
江苏美术出版社,jiang'su'mei'shu'chu'ban'she
江苏人民出版社,jiang'su'ren'min'chu'ban'she
江苏文艺出版社,jiang'su'wen'yi'chu'ban'she
讲谈社,jiang'tan'she
讲习,jiang'xi
江西教育出版社,jiang'xi'jiao'yu'chu'ban'she
江西人民出版社,jiang'xi'ren'min'chu'ban'she
讲演录,jiang'yan'lu
校本,jiao'ben
校本合刊,jiao'ben'he'kan
斠补,jiao'bu
校补,jiao'bu
校补本,jiao'bu'ben
校雠,jiao'chou
校雠通义,jiao'chou'tong'yi
校雠学,jiao'chou'xue
校点本,jiao'dian'ben
校订,jiao'ding
校订版,jiao'ding'ban
校读,jiao'du
校读法,jiao'du'fa
校读记,jiao'du'ji
校读笺识,jiao'du'jian'zhi
校对,jiao'dui
校对稿,jiao'dui'gao
教坊,jiao'fang
校改,jiao'gai
校稿,jiao'gao
校诂,jiao'gu
校覈,jiao'he
校记,jiao'ji
校辑,jiao'ji
校记者,jiao'ji'zhe
校笺,jiao'jian
较旧,jiao'jiu
校勘,jiao'kan
校勘错误,jiao'kan'cuo'wu
校勘对象,jiao'kan'dui'xiang
校勘记,jiao'kan'ji
校勘精审,jiao'kan'jing'shen
校勘甚次,jiao'kan'shen'ci
校勘学,jiao'kan'xue
校勘训诂学,jiao'kan'xun'gu'xue
校理,jiao'li
校录,jiao'lu
校批,jiao'pi
校诠,jiao'quan
校释,jiao'shi
校书,jiao'shu
校疏,jiao'shu
校疏者,jiao'shu'zhe
郊祀,jiao'si
郊祀志,jiao'si'zhi
交通史,jiao'tong'shi
